Patch	Experiment ID	Treatment	Glyphosate	TiO2	Firing pressure	Erosion.type	CSM	Firing pressure 	Shear stress	Stressor status	perc.water
1	1	b	1	0	0.2	1	4	1.38	0.13	Pre	34.2
1	2	e	1	1	0.3	1	4	2.07	0.20	Pre	32.7
1	3	d	0	1	0.2	1	4	1.38	0.13	Pre	32.7
1	4	c	2	0	0.1	1	1	0.69	0.07	Pre	40.0
1	5	a	0	0	0.1	1	1	0.69	0.07	Pre	39.3
1	6	f	2	1	0.1	1	1	0.69	0.07	Pre	29.0
2	7	f	2	1		2	4			Pre	38.0
2	8	c	2	0	0.3	1	4	2.07	0.20	Pre	38.2
2	9	d	0	1	0.2	1	4	1.38	0.13	Pre	39.3
2	10	a	0	0	0.1	1	1	0.69	0.07	Pre	36.3
2	11	e	1	1	0.1	1	1	0.69	0.07	Pre	35.1
2	12	b	1	0	0.1	1	1	0.69	0.07	Pre	30.4
3	13	c	2	0	0.1	1	4	0.69	0.07	Pre	34.0
3	14	a	0	0	0.3	1	4	2.07	0.20	Pre	30.3
3	15	b	1	0	0.1	1	4	0.69	0.07	Pre	35.2
3	16	f	2	1	0.1	1	1	0.69	0.07	Pre	32.0
3	17	d	0	1	0.1	1	1	0.69	0.07	Pre	36.1
3	18	e	1	1	0.1	1	1	0.69	0.07	Pre	30.3
4	19	c	2	0	0.2	1	4	1.38	0.13	Pre	36.1
4	20	a	0	0		0	4			Pre	30.6
4	21	e	1	1	0.1	1	4	0.69	0.07	Pre	31.0
4	22	b	1	0	0.1	1	1	0.69	0.07	Pre	31.0
4	23	f	2	1	0.1	1	1	0.69	0.07	Pre	28.7
4	24	d	0	1	0.1	1	1	0.69	0.07	Pre	33.2
5	25	c	2	0	0.1	1	4	0.69	0.07	Pre	35.1
5	26	b	1	0		2	4			Pre	29.6
5	27	e	1	1	0.1	1	4	0.69	0.07	Pre	30.9
5	28	a	0	0	0.1	1	1	0.69	0.07	Pre	30.3
5	29	d	0	1	0.1	1	1	0.69	0.07	Pre	32.5
5	30	f	2	1	0.1	1	1	0.69	0.07	Pre	29.3
6	31	e	1	1	0.1	1	4	0.69	0.07	Pre	30.1
6	32	d	0	1	0.1	1	4	0.69	0.07	Pre	31.4
6	33	c	2	0		2	4			Pre	30.3
6	34	b	1	0	0.1	1	1	0.69	0.07	Pre	35.4
6	35	a	0	0	0.1	1	1	0.69	0.07	Pre	38.5
6	36	f	2	1	0.1	1	1	0.69	0.07	Pre	31.6
7	37	f	2	1		2	4			Pre	29.3
7	38	d	0	1	0.1	1	4	0.69	0.07	Pre	32.5
7	39	e	1	1	0.1	1	4	0.69	0.07	Pre	28.3
7	40	c	2	0	0.1	1	1	0.69	0.07	Pre	28.7
7	41	b	1	0	0.1	1	1	0.69	0.07	Pre	29.1
7	42	a	0	0	0.1	1	1	0.69	0.07	Pre	28.1
1	1	b	1	0	0.1	1	1	0.69	0.07	Post	25.8
1	2	e	1	1	0.1	1	1	0.69	0.07	Post	18.2
1	3	d	0	1	0.1	1	1	0.69	0.07	Post	26.0
1	4	c	2	0	0.1	1	4	0.69	0.07	Post	23.0
1	5	a	0	0	0.1	1	4	0.69	0.07	Post	25.9
1	6	f	2	1	0.1	1	4	0.69	0.07	Post	25.1
2	7	f	2	1		2	1			Post	32.2
2	8	c	2	0	0.1	1	1	0.69	0.07	Post	28.3
2	9	d	0	1	0.1	1	1	0.69	0.07	Post	27.3
2	10	a	0	0	0.1	1	4	0.69	0.07	Post	30.6
2	11	e	1	1	0.1	1	4	0.69	0.07	Post	26.8
2	12	b	1	0	0.1	1	4	0.69	0.07	Post	22.3
3	13	c	2	0	0.1	1	1	0.69	0.07	Post	17.4
3	14	a	0	0	0.2	1	1	1.38	0.13	Post	28.2
3	15	b	1	0	0.2	1	1	1.38	0.13	Post	29.8
3	16	f	2	1		2	4			Post	27.5
3	17	d	0	1		2	4			Post	34.4
3	18	e	1	1		2	4			Post	33.4
4	19	c	2	0		1.5	1			Post	26.2
4	20	a	0	0		2	1			Post	23.9
4	21	e	1	1	0.2	1	1	1.38	0.13	Post	28.9
4	22	b	1	0		2	4			Post	26.2
4	23	f	2	1		2	4			Post	31.7
4	24	d	0	1		2	4			Post	26.9
5	25	c	2	0		2	1			Post	26.1
5	26	b	1	0	0.2	1	1	1.38	0.13	Post	27.8
5	27	e	1	1	0.1	1	1	0.69	0.07	Post	26.4
5	28	a	0	0		1.5	4			Post	24.7
5	29	d	0	1		2	4			Post	25.1
5	30	f	2	1	0.2	1	4	1.38	0.13	Post	27.3
6	31	e	1	1	0.1	1	1	0.69	0.07	Post	24.1
6	32	d	0	1		1.5	1			Post	23.6
6	33	c	2	0	0.1	1	1	0.69	0.07	Post	25.1
6	34	b	1	0	0.1	1	4	0.69	0.07	Post	27.8
6	35	a	0	0	0.1	1	4	0.69	0.07	Post	16.6
6	36	f	2	1	0.1	1	4	0.69	0.07	Post	23.5
7	37	f	2	1	0.1	1	1	0.69	0.07	Post	22.6
7	38	d	0	1		1.5	1			Post	21.2
7	39	e	1	1		2	1			Post	24.7
7	40	c	2	0	0.1	1	4	0.69	0.07	Post	20.9
7	41	b	1	0	0.1	1	4	0.69	0.07	Post	20.8
7	42	a	0	0	0.1	1	4	0.69	0.07	Post	23.0
