Patch	Position	Percent water	Chlorophyll	Colloidal carbs	ID	Treatment	TiO2	Glyphosate	Hediste diversicolor	Arinicola marina	Capitella capitata	Eteone picta	Tubificoides benedii	Corophium volutator	Crangon crangon	Carcinus maenus	Macoma balthica	Cerastoderma edule 	Hydrobia ulvae	Richness	Individual count	Polychaetes	Oligochaetes	Crustaceans	Bivalves
1	1	25.8	13.17	165.12	1	b	0	1	1	2			10	14			2			5	29	3	10	14	2
1	2	18.2	10.01	27.27	2	e	1	1		1			10	52			2	1	1	6	67	1	10	52	3
1	3	26.0	18.70	19.78	3	d	1	0		1	1		5	2			2	1		6	12	1	5	2	3
1	4	23.0	14.53	178.02	4	c	0	2	2				2	2			2			4	8	2	2	2	2
1	5	25.9	13.88	74.90	5	a	0	0	1	1			1	11			3			5	17	2	1	11	3
1	6	25.1	15.77	203.50	6	f	1	2	1				9	7			6		2	5	25	1	9	7	6
2	1	32.2	24.33	98.25	7	f	1	2	1					17			2			3	20	1	0	17	2
2	2	28.3	18.85	125.67	8	c	0	2	3				3	12			6	1		5	25	3	3	12	7
2	3	27.3	22.09	148.51	9	d	1	0	1					31			2			3	34	1	0	31	2
2	4	30.6	18.43	72.53	10	a	0	0	1				5	23			3			4	32	1	5	23	3
2	5	26.8	21.81	140.19	11	e	1	1	3	1			5	29			8			5	46	4	5	29	8
2	6	22.3	18.32	141.87	12	b	0	1	1				4	21			4			4	30	1	4	21	4
3	1	17.4	13.61	390.82	13	c	0	2	1	2				20			4			4	27	3	0	20	4
3	2	28.2	15.42	97.29	14	a	0	0	1					9			2			3	12	1	0	9	2
3	3	29.8	18.02	175.93	15	b	0	1					2	28			2	1		4	33	0	2	28	3
3	4	27.5	16.03	305.67	16	f	1	2					3	7			1			3	11	0	3	7	1
3	5	34.4	26.79	373.30	17	d	1	0	2				1	2			5			4	10	2	1	2	5
3	6	33.4	21.91	257.09	18	e	1	1	2				2	10			2			4	16	2	2	10	2
4	1	26.2	16.56	248.69	19	c	0	2	2	1			1	37			5	1		6	47	3	1	37	6
4	2	23.9	18.49	222.45	20	a	0	0	1					19			2			3	22	1	0	19	2
4	3	28.9	21.80	158.79	21	e	1	1	2				1	20			5			4	28	2	1	20	5
4	4	26.2	22.45	316.15	22	b	0	1	6				2	35			8	3		5	54	6	2	35	11
4	5	31.7	21.89	383.88	23	f	1	2	2				1	27			5	1		5	36	2	1	27	6
4	6	26.9	24.67	275.58	24	d	1	0	7				9	17			6	1		5	40	7	9	17	7
5	1	26.1	20.66	287.91	25	c	0	2	2				7	41			7	1		5	58	2	7	41	8
5	2	27.8	19.19	223.50	26	b	0	1	2				8	39			2	1		5	52	2	8	39	3
5	3	26.4	19.42	303.24	27	e	1	1	4				8	43			1	2		5	58	4	8	43	3
5	4	24.7	21.42	248.67	28	a	0	0	4				7	19			3			4	33	4	7	19	3
5	5	25.1	20.95	148.67	29	d	1	0	2				1	34			3	2		5	42	2	1	34	5
5	6	27.3	20.50	201.92	30	f	1	2	4			1	2		1		6			5	14	4	2	0	6
6	1	24.1	21.46	336.26	31	e	1	1	1	1			3	27	1			2		6	35	2	3	27	2
6	2	23.6	21.51	190.44	32	d	1	0	2				4	62			4	2		5	74	2	4	62	6
6	3	25.1	22.49	182.31	33	c	0	2					3	28			2	2		4	35	0	3	28	4
6	4	27.8	25.81	297.98	34	b	0	1	2				5	5			5			4	17	2	5	5	5
6	5	16.6	23.98	142.86	35	a	0	0	4				1	16	1		3			5	25	4	1	16	3
6	6	23.5	22.73	203.88	36	f	1	2	1				3	32			4			4	40	1	3	32	4
7	1	22.6	22.52	326.18	37	f	1	2	3				8	40			3			4	54	3	8	40	3
7	2	21.2	24.07	191.32	38	d	1	0	2					36			4			3	42	2	0	36	4
7	3	24.7	21.56	253.66	39	e	1	1	2				3	15		1	6			5	27	2	3	15	6
7	4	20.9	18.45	150.32	40	c	0	2	1				8	20			4			4	33	1	8	20	4
7	5	20.8	20.35	468.26	41	b	0	1	1				8	20			1			4	30	1	8	20	1
7	6	23.0	21.56	284.54	42	a	0	0	2				2	35			1			4	40	2	2	35	1
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
