Patch	Position	ID	Treatment	TiO2	Glyphosate	Hediste diversicolor	Arinicola marina	Capitella capitata	Eteone picta	Tubificoides benedii	Corophium volutator	Crangon crangon	Carcinus maenus	Macoma balthica	Cerastoderma edule 	Hydrobia ulvae
1	5	5	a	0	0	1	1			1	11			3		
2	4	10	a	0	0	1				5	23			3		
3	2	14	a	0	0	1					9			2		
4	2	20	a	0	0	1					19			2		
5	4	28	a	0	0	4				7	19			3		
6	5	35	a	0	0	4				1	16	1		3		
7	6	42	a	0	0	2				2	35			1		
1	1	1	b	0	1	1	2			10	14			2		
2	6	12	b	0	1	1				4	21			4		
3	3	15	b	0	1					2	28			2	1	
4	4	22	b	0	1	6				2	35			8	3	
5	2	26	b	0	1	2				8	39			2	1	
6	4	34	b	0	1	2				5	5			5		
7	5	41	b	0	1	1				8	20			1		
1	4	4	c	0	2	2				2	2			2		
2	2	8	c	0	2	3				3	12			6	1	
3	1	13	c	0	2	1	2				20			4		
4	1	19	c	0	2	2	1			1	37			5	1	
5	1	25	c	0	2	2				7	41			7	1	
6	3	33	c	0	2					3	28			2	2	
7	4	40	c	0	2	1				8	20			4		
1	3	3	d	1	0		1	1		5	2			2	1	
2	3	9	d	1	0	1					31			2		
3	5	17	d	1	0	2				1	2			5		
4	6	24	d	1	0	7				9	17			6	1	
5	5	29	d	1	0	2				1	34			3	2	
6	2	32	d	1	0	2				4	62			4	2	
7	2	38	d	1	0	2					36			4		
1	2	2	e	1	1		1			10	52			2	1	1
2	5	11	e	1	1	3	1			5	29			8		
3	6	18	e	1	1	2				2	10			2		
4	3	21	e	1	1	2				1	20			5		
5	3	27	e	1	1	4				8	43			1	2	
6	1	31	e	1	1	1	1			3	27	1			2	
7	3	39	e	1	1	2				3	15		1	6		
1	6	6	f	1	2	1				9	7			6		2
2	1	7	f	1	2	1					17			2		
3	4	16	f	1	2					3	7			1		
4	5	23	f	1	2	2				1	27			5	1	
5	6	30	f	1	2	4			1	2		1		6		
6	6	36	f	1	2	1				3	32			4		
7	1	37	f	1	2	3				8	40			3		
