Patch	Experiment ID	Treatment	Glyphosate	TiO2	Time	FvFm	NDVI
1	1	b	1	0	1	0.12	0.11
1	2	e	1	1	1	0.2	0.08
1	3	d	0	1	1	0.35	0.11
1	4	c	2	0	1	0.1	0.09
1	5	a	0	0	1	0.43	0.09
1	6	f	2	1	1	0.23	0.11
2	7	f	2	1	1	0.13	0.09
2	8	c	2	0	1	0.14	0.11
2	9	d	0	1	1	0.16	0.11
2	10	a	0	0	1	0.12	0.11
2	11	e	1	1	1	0.19	0.11
2	12	b	1	0	1	0.12	0.09
3	13	c	2	0	1	0.13	0.10
3	14	a	0	0	1	0.15	0.11
3	15	b	1	0	1	0.21	0.11
3	16	f	2	1	1	0.18	0.20
3	17	d	0	1	1	0.17	0.12
3	18	e	1	1	1	0.21	0.13
4	19	c	2	0	1	0.14	0.12
4	20	a	0	0	1	0.15	0.10
4	21	e	1	1	1	0.12	0.07
4	22	b	1	0	1	0.02	0.11
4	23	f	2	1	1	0.15	0.11
4	24	d	0	1	1	0.06	0.13
5	25	c	2	0	1	0.14	0.12
5	26	b	1	0	1	0.18	0.16
5	27	e	1	1	1	0.11	0.09
5	28	a	0	0	1	0.15	0.18
5	29	d	0	1	1	0.11	0.13
5	30	f	2	1	1	0.02	0.13
6	31	e	1	1	1	0.07	0.11
6	32	d	0	1	1	0.13	0.13
6	33	c	2	0	1		0.12
6	34	b	1	0	1	0.1	0.12
6	35	a	0	0	1	0.06	0.11
6	36	f	2	1	1	0.08	0.12
7	37	f	2	1	1	0.07	0.12
7	38	d	0	1	1	0.14	0.12
7	39	e	1	1	1	0.11	0.09
7	40	c	2	0	1	0.13	0.10
7	41	b	1	0	1		0.10
7	42	a	0	0	1		0.12
1	1	b	1	0	2	0.16	0.04
1	2	e	1	1	2	0.12	0.08
1	3	d	0	1	2	0.08	0.15
1	4	c	2	0	2	0.15	0.08
1	5	a	0	0	2	0.11	0.09
1	6	f	2	1	2	0.14	0.09
2	7	f	2	1	2	0.06	0.13
2	8	c	2	0	2	0.09	0.11
2	9	d	0	1	2		0.13
2	10	a	0	0	2	0.13	0.08
2	11	e	1	1	2	0.12	0.08
2	12	b	1	0	2	0.13	0.10
3	13	c	2	0	2	0.12	0.09
3	14	a	0	0	2	0.12	0.08
3	15	b	1	0	2	0.52	0.11
3	16	f	2	1	2	0.11	0.16
3	17	d	0	1	2	0.12	
3	18	e	1	1	2	0.11	
4	19	c	2	0	2	0.09	0.11
4	20	a	0	0	2	0.11	-0.16
4	21	e	1	1	2	0.08	-0.18
4	22	b	1	0	2	0.23	-0.13
4	23	f	2	1	2	0.22	0.10
