Patch	Experiment ID	Treatment	Glyphosate	TiO2	Percent water 	Chlorophyll	Colloidal carbs	Stressor status	Total carbs
1	1	b	1	0	34.2	12.13625806	182.3076923	Pre	4125.64
1	2	e	1	1	32.7	15.15863372	217.0601676	Pre	4147.06
1	3	d	0	1	32.7	14.23540761	113.5235732	Pre	4294.23
1	4	c	2	0	40.0	23.05156051	228.4615385	Pre	8061.09
1	5	a	0	0	39.3	18.7801049	186.8131868	Pre	6848.72
1	6	f	2	1	29.0	12.171	103.6505867	Pre	3587.41
2	7	f	2	1	38.0	17.26158	193.7590711	Pre	5944.71
2	8	c	2	0	38.2	17.25778409	217.9487179	Pre	6111.66
2	9	d	0	1	39.3	15.1127234	207.2649573	Pre	5417.58
2	10	a	0	0	36.3	11.52896552	190.4406273	Pre	4382.05
2	11	e	1	1	35.1	11.42595703	147.2527473	Pre	4822.49
2	12	b	1	0	30.4	11.16633333	130.2361005	Pre	3670.67
3	13	c	2	0	34.0	15.4778169	91.88034188	Pre	5463.68
3	14	a	0	0	30.3	14.2728169	118.6196981	Pre	4645.69
3	15	b	1	0	35.2	16.29425581	216.6764533	Pre	5258.97
3	16	f	2	1	32.0	13.61580275	242.3076923	Pre	4223.98
3	17	d	0	1	36.1	14.30904135	196.1538462	Pre	6444.17
3	18	e	1	1	30.3	14.45	246.6063348	Pre	4200.99
4	19	c	2	0	36.1	15.38483254	294.6428571	Pre	4895.78
4	20	a	0	0	30.6	12.25822642	212.2252747	Pre	5894.87
4	21	e	1	1	31.0	13.93083333	221.8934911	Pre	5634.03
4	22	b	1	0	31.0	13.29565909	228.4615385	Pre	5059.55
4	23	f	2	1	28.7	11.52488532	179.7337278	Pre	3730.77
4	24	d	0	1	33.2	15.55082547	257.1428571	Pre	5605.77
5	25	c	2	0	35.1	14.0097235	341.6289593	Pre	6782.05
5	26	b	1	0	29.6	13.37124046	140.7692308	Pre	4151.58
5	27	e	1	1	30.9	14.39170673	289.407314	Pre	3797.20
5	28	a	0	0	30.3	14.26205882	193.7590711	Pre	4131.51
5	29	d	0	1	32.5	15.31722707	207.9207921	Pre	3397.44
5	30	f	2	1	29.3	13.53561611	124.3990385	Pre	3337.41
6	31	e	1	1	30.1	12.79314103	239.9086062	Pre	3251.41
6	32	d	0	1	31.4	14.51589623	145.8635704	Pre	4510.49
6	33	c	2	0	30.3	12.57661765	158.9259797	Pre	4268.07
6	34	b	1	0	35.4	14.03188406	191.9482387	Pre	5373.63
6	35	a	0	0	38.5	16.87086864	219.4570136	Pre	6313.77
6	36	f	2	1	31.6	14.80730769	218.8914027	Pre	3946.15
7	37	f	2	1	29.3	14.61530418	292.3076923	Pre	4251.13
7	38	d	0	1	32.5	13.36774468	220.1996477	Pre	3805.01
7	39	e	1	1	28.3	12.59945455	254.4378698	Pre	3679.49
7	40	c	2	0	28.7	13.38126106	264.7058824	Pre	3192.31
7	41	b	1	0	29.1	14.331133	182.967033	Pre	3289.74
7	42	a	0	0	28.1	12.9930695	232.8671329	Pre	2697.61
1	1	b	1	0	25.8	13.17425676	165.1193634	Post	1486.69
1	2	e	1	1	18.2	10.00637931	27.27272727	Post	10380.81
1	3	d	0	1	26.0	18.69894231	19.78021978	Post	1771.35
1	4	c	2	0	23.0	14.53326923	178.021978	Post	2492.51
1	5	a	0	0	25.9	13.87783019	74.89878543	Post	1596.15
1	6	f	2	1	25.1	15.77088235	203.4965035	Post	1376.92
2	7	f	2	1	32.2	24.3339	98.24828637	Post	4006.69
2	8	c	2	0	28.3	18.85144068	125.6664128	Post	3253.85
2	9	d	0	1	27.3	22.08535714	148.5148515	Post	6346.15
2	10	a	0	0	30.6	18.42777778	72.52747253	Post	5549.03
2	11	e	1	1	26.8	21.81088235	140.1869159	Post	7455.13
2	12	b	1	0	22.3	18.31553571	141.8663304	Post	3114.26
3	13	c	2	0	17.4	13.605	390.8188586	Post	3569.00
3	14	a	0	0	28.2	15.42235294	97.28506787	Post	8401.99
3	15	b	1	0	29.8	18.0182	175.9329779	Post	4201.74
3	16	f	2	1	27.5	16.02868421	305.6680162	Post	4812.46
3	17	d	0	1	34.4	26.79	373.3031674	Post	7196.97
3	18	e	1	1	33.4	21.90617647	257.0850202	Post	6105.34
4	19	c	2	0	26.2	16.55852941	248.6930545	Post	4383.99
4	20	a	0	0	23.9	18.49029851	222.4532225	Post	4245.85
4	21	e	1	1	28.9	21.80491071	158.786168	Post	5229.48
4	22	b	1	0	26.2	22.45301471	316.1538462	Post	5804.84
4	23	f	2	1	31.7	21.89068966	383.8757396	Post	6980.91
4	24	d	0	1	26.9	24.67018868	275.5787901	Post	5850.59
5	25	c	2	0	26.1	20.6555	287.9120879	Post	6440.56
5	26	b	1	0	27.8	19.18557692	223.5009085	Post	5473.37
5	27	e	1	1	26.4	19.42345588	303.2422123	Post	4578.04
5	28	a	0	0	24.7	21.4212	248.6737401	Post	4908.74
5	29	d	0	1	25.1	20.95175	148.6686391	Post	4446.06
5	30	f	2	1	27.3	20.50384615	201.9230769	Post	6195.27
6	31	e	1	1	24.1	21.45849057	336.2637363	Post	5437.36
6	32	d	0	1	23.6	21.50660377	190.4406273	Post	4650.03
6	33	c	2	0	25.1	22.49227941	182.3076923	Post	5530.77
6	34	b	1	0	27.8	25.8069	297.98	Post	6763.08
6	35	a	0	0	16.6	23.98118644	142.8571429	Post	5606.51
6	36	f	2	1	23.5	22.734	203.8834951	Post	5187.69
7	37	f	2	1	22.6	22.51875	326.183432	Post	5758.45
7	38	d	0	1	21.2	24.07085526	191.321499	Post	5840.66
7	39	e	1	1	24.7	21.56286885	253.6554355	Post	4455.99
7	40	c	2	0	20.9	18.4547619	150.3175723	Post	3415.61
7	41	b	1	0	20.8	20.35473684	468.2598954	Post	5466.82
7	42	a	0	0	23.0	21.55947368	284.540702	Post	4488.19
